Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_6,Bin_8
Bin_2,Bin_13,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_8,Bin_6,Bin_8
Bin_2,Bin_13,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_6,Bin_8
Bin_2,Bin_14,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_8,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_6,Bin_8
Bin_2,Bin_13,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_6,Bin_8
Bin_2,Bin_11,Bin_4,Bin_8,Bin_6,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_6,Bin_8
Bin_2,Bin_14,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_10,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_6,Bin_8
Bin_2,Bin_13,Bin_6,Bin_8,Bin_6,Bin_8
Bin_2,Bin_13,Bin_6,Bin_10,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_10,Bin_5,Bin_10,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_13,Bin_6,Bin_8,Bin_6,Bin_8
Bin_2,Bin_13,Bin_6,Bin_10,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_6,Bin_8
Bin_2,Bin_10,Bin_6,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_10,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_6,Bin_8
Bin_2,Bin_13,Bin_6,Bin_7,Bin_6,Bin_8
Bin_2,Bin_14,Bin_6,Bin_10,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_6,Bin_8
Bin_2,Bin_11,Bin_6,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_10,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_10,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_6,Bin_8
Bin_2,Bin_13,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_14,Bin_6,Bin_10,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_10,Bin_5,Bin_10,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_14,Bin_6,Bin_8,Bin_6,Bin_8
Bin_2,Bin_12,Bin_6,Bin_10,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_6,Bin_8
Bin_2,Bin_11,Bin_6,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_6,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_6,Bin_8
Bin_2,Bin_13,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_6,Bin_8
Bin_2,Bin_14,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_6,Bin_8
Bin_2,Bin_14,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_6,Bin_8
Bin_2,Bin_14,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_10,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_6,Bin_8
Bin_2,Bin_11,Bin_4,Bin_8,Bin_6,Bin_8
Bin_2,Bin_13,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_13,Bin_5,Bin_8,Bin_8,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_13,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_6,Bin_8
Bin_2,Bin_12,Bin_5,Bin_7,Bin_7,Bin_8
Bin_2,Bin_13,Bin_6,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_13,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_13,Bin_6,Bin_10,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_6,Bin_8
Bin_2,Bin_12,Bin_4,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_8,Bin_7,Bin_8
Bin_2,Bin_14,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_10,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_7,Bin_6,Bin_8
Bin_2,Bin_12,Bin_6,Bin_7,Bin_7,Bin_8
Bin_2,Bin_13,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_14,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_6,Bin_8
Bin_2,Bin_11,Bin_5,Bin_10,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_4,Bin_8,Bin_6,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_13,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_8,Bin_7,Bin_8
Bin_2,Bin_13,Bin_5,Bin_10,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_7,Bin_8
Bin_2,Bin_11,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_5,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_10,Bin_6,Bin_8
Bin_2,Bin_11,Bin_4,Bin_9,Bin_7,Bin_8
Bin_2,Bin_11,Bin_5,Bin_8,Bin_6,Bin_8
Bin_2,Bin_12,Bin_5,Bin_8,Bin_6,Bin_8
Bin_2,Bin_13,Bin_6,Bin_8,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
Bin_2,Bin_12,Bin_6,Bin_9,Bin_7,Bin_8
