Token,Fréquence du terme,Fréquence max,Nombre de documents dans la collection,Nombre de documents contenant le terme,log10,Poids du terme (TF-IDF)
10,1,9,6,3,0.47712125471966244,0.05301347274662915
12,1,9,6,1,0.8450980400142568,0.09389978222380631
achiev,1,9,6,3,0.47712125471966244,0.05301347274662915
adapt,2,9,6,1,0.8450980400142568,0.18779956444761262
advanc,1,9,6,1,0.8450980400142568,0.09389978222380631
aggreg,1,9,6,1,0.8450980400142568,0.09389978222380631
aim,1,9,6,2,0.6020599913279624,0.06689555459199582
art,1,9,6,3,0.47712125471966244,0.05301347274662915
automat,1,9,6,1,0.8450980400142568,0.09389978222380631
base,1,9,6,6,0.3010299956639812,0.03344777729599791
beir,1,9,6,2,0.6020599913279624,0.06689555459199582
benchmark,1,9,6,4,0.3979400086720376,0.04421555651911529
boost,1,9,6,1,0.8450980400142568,0.09389978222380631
captur,2,9,6,2,0.6020599913279624,0.13379110918399165
cluster,2,9,6,1,0.8450980400142568,0.18779956444761262
combin,1,9,6,2,0.6020599913279624,0.06689555459199582
complet,1,9,6,1,0.8450980400142568,0.09389978222380631
constrain,1,9,6,1,0.8450980400142568,0.09389978222380631
crucial,1,9,6,1,0.8450980400142568,0.09389978222380631
custom,1,9,6,1,0.8450980400142568,0.09389978222380631
demonstr,1,9,6,3,0.47712125471966244,0.05301347274662915
differenti,1,9,6,1,0.8450980400142568,0.09389978222380631
distinctli,1,9,6,1,0.8450980400142568,0.09389978222380631
divers,4,9,6,1,0.8450980400142568,0.37559912889522523
effect,1,9,6,3,0.47712125471966244,0.05301347274662915
empir,1,9,6,1,0.8450980400142568,0.09389978222380631
enhanc,1,9,6,2,0.6020599913279624,0.06689555459199582
evalu,1,9,6,3,0.47712125471966244,0.05301347274662915
expans,1,9,6,1,0.8450980400142568,0.09389978222380631
experi,1,9,6,3,0.47712125471966244,0.05301347274662915
explor,1,9,6,2,0.6020599913279624,0.06689555459199582
feedback,1,9,6,2,0.6020599913279624,0.06689555459199582
field,1,9,6,1,0.8450980400142568,0.09389978222380631
first,1,9,6,3,0.47712125471966244,0.05301347274662915
framework,2,9,6,1,0.8450980400142568,0.18779956444761262
furthermor,1,9,6,2,0.6020599913279624,0.06689555459199582
gencrf,3,9,6,1,0.8450980400142568,0.28169934667141894
gener,4,9,6,4,0.3979400086720376,0.17686222607646115
group,1,9,6,1,0.8450980400142568,0.09389978222380631
improv,1,9,6,4,0.3979400086720376,0.04421555651911529
inform,2,9,6,4,0.3979400086720376,0.08843111303823058
initi,1,9,6,1,0.8450980400142568,0.09389978222380631
innov,1,9,6,1,0.8450980400142568,0.09389978222380631
input,1,9,6,3,0.47712125471966244,0.05301347274662915
integr,1,9,6,2,0.6020599913279624,0.06689555459199582
intent,4,9,6,2,0.6020599913279624,0.2675822183679833
ir,1,9,6,2,0.6020599913279624,0.06689555459199582
known,1,9,6,1,0.8450980400142568,0.09389978222380631
